,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
173,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600147,2006-11-20T00:00:00,TOR @ UTA,L,240.00000000000003,31,74,0.4189189189189189,7,19,0.3684210526315789,27,37,0.7297297297297297,8,28,36,15,13,8,7,4,22,25,96,-25,1,0,116.42308259328517
174,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600158,2006-11-22T00:00:00,TOR vs. CLE,W,240.0,32,70,0.45714285714285713,3,17,0.17647058823529413,28,34,0.8235294117647058,9,32,41,19,14,2,1,4,17,23,95,40,1,0,101.33344781878965
175,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600173,2006-11-24T00:00:00,TOR @ ATL,L,240.0,35,79,0.4430379746835443,6,17,0.35294117647058826,17,21,0.8095238095238095,10,32,42,17,16,4,3,5,22,25,93,-20,2,0,93.88367851464895
176,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600195,2006-11-26T00:00:00,TOR vs. IND,W,240.0,37,85,0.43529411764705883,4,12,0.3333333333333333,14,18,0.7777777777777778,15,34,49,17,11,10,1,6,20,16,92,45,1,0,130.491359984717
177,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600206,2006-11-28T00:00:00,TOR @ NOK,W,240.00000000000003,35,78,0.44871794871794873,7,22,0.3181818181818182,17,20,0.85,14,28,42,14,14,9,5,3,19,18,94,85,1,0,104.6703442588259
178,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600216,2006-11-29T00:00:00,TOR @ DAL,L,240.0,36,77,0.4675324675324675,1,6,0.16666666666666666,25,34,0.7352941176470589,9,26,35,13,9,2,2,3,21,20,98,-95,1,0,125.59264948204304
179,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600224,2006-12-01T00:00:00,TOR vs. BOS,W,240.0,42,76,0.5526315789473685,1,6,0.16666666666666666,21,25,0.84,7,25,32,24,10,6,7,5,22,26,106,20,2,0,156.36919793374523
180,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600235,2006-12-02T00:00:00,TOR @ NYK,W,240.0,32,80,0.4,8,19,0.42105263157894735,31,33,0.9393939393939394,11,29,40,21,14,4,3,4,18,27,103,15,2,0,148.84192578581593
181,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600262,2006-12-06T00:00:00,TOR @ CLE,L,240.0,39,85,0.4588235294117647,3,11,0.2727272727272727,10,13,0.7692307692307693,8,29,37,26,6,5,5,5,18,15,91,-20,1,0,112.7263050711847
182,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600281,2006-12-08T00:00:00,TOR @ CHI,L,240.00000000000003,35,81,0.43209876543209874,8,21,0.38095238095238093,12,16,0.75,7,34,41,23,14,8,3,12,21,16,90,-15,1,0,89.67524443186694
