,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
23,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900359,2019-12-11T00:00:00,TOR vs. LAC,254.83333334666668,34.0,92.0,0.3695652173913043,8.0,37.0,0.21621621621621623,24.0,28.0,0.8571428571428571,18.0,36.0,54.0,21.0,17.0,12.0,8.0,5.0,25.0,24.0,100.0,-15.8,0,0,143.6354473545843
24,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900381,2019-12-14T00:00:00,TOR vs. BKN,257.7614583293334,44.125,105.5,0.41824644549763035,15.875,39.625,0.40063091482649843,22.75,28.875,0.7878787878787878,12.5,47.375,59.875,21.0,11.375,13.0,10.25,8.375,28.5,24.125,126.875,9.825,3,0,101.35352718876793
25,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900395,2019-12-16T00:00:00,TOR vs. CLE,242.68333333066667,53.0,93.0,0.5698924731182796,14.0,31.0,0.45161290322580644,15.0,20.0,0.75,9.0,38.0,47.0,29.0,5.0,8.0,2.0,2.0,20.0,18.0,135.0,19.6,1,0,214.0542825385843
26,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900408,2019-12-18T00:00:00,TOR @ DET,237.5999999906667,41.0,94.0,0.43617021276595747,13.0,34.0,0.38235294117647056,23.0,27.0,0.8518518518518519,15.0,36.0,51.0,25.0,12.0,11.0,6.0,7.0,23.0,20.0,118.0,14.2,2,1,176.9324052595843
27,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900423,2019-12-20T00:00:00,TOR vs. WAS,230.78333333666666,37.0,76.0,0.4868421052631579,11.0,27.0,0.4074074074074074,34.0,45.0,0.7555555555555555,9.0,39.0,48.0,25.0,14.0,5.0,3.0,2.0,25.0,30.0,119.0,4.8,1,0,160.0684667345843
28,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900439,2019-12-22T00:00:00,TOR vs. DAL,239.08500000666666,37.0,94.0,0.39361702127659576,8.0,31.0,0.25806451612903225,28.0,34.0,0.8235294117647058,16.0,40.0,56.0,20.0,10.0,10.0,5.0,5.0,22.0,25.0,110.0,9.4,1,0,153.5858044475843
29,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900446,2019-12-23T00:00:00,TOR @ IND,269.2166666666667,44.0,95.0,0.4631578947368421,10.0,39.0,0.2564102564102564,20.0,27.0,0.7407407407407407,14.0,41.0,55.0,30.0,15.0,8.0,8.0,9.0,21.0,24.0,118.0,-4.4,2,0,129.7619999895843
30,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900455,2019-12-25T00:00:00,TOR vs. BOS,241.16111111077777,40.5,83.0,0.4879518072289157,8.166666666666666,23.666666666666668,0.34507042253521125,21.333333333333332,26.5,0.8050314465408804,11.166666666666666,30.666666666666668,41.833333333333336,18.666666666666668,15.666666666666666,13.5,7.166666666666667,4.833333333333333,15.0,25.833333333333332,110.5,-9.1,0,0,187.18976389678988
31,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900473,2019-12-28T00:00:00,TOR @ BOS,233.2777777707778,42.5,84.0,0.5059523809523809,12.166666666666666,31.666666666666668,0.38421052631578945,14.333333333333334,21.5,0.6666666666666667,18.166666666666668,36.666666666666664,54.833333333333336,20.666666666666668,20.666666666666668,9.5,2.1666666666666665,5.833333333333333,35.0,21.833333333333332,111.5,16.5,1,0,157.5883121377899
32,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900486,2019-12-29T00:00:00,TOR vs. OKC,227.9333333366667,33.0,80.0,0.4125,12.0,36.0,0.3333333333333333,14.0,15.0,0.9333333333333333,10.0,37.0,47.0,19.0,12.0,7.0,2.0,7.0,22.0,17.0,92.0,2.4,1,0,99.78847359358427
33,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900500,2019-12-31T00:00:00,TOR vs. CLE,274.95590277444444,47.625,98.5,0.48350253807106597,17.041666666666668,41.291666666666664,0.4127144298688194,19.083333333333332,24.375,0.7829059829059829,14.666666666666666,41.041666666666664,55.708333333333336,29.666666666666668,13.041666666666666,7.5,7.416666666666667,6.208333333333333,20.5,21.958333333333332,131.375,22.925,1,0,227.82101665897355
34,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900510,2020-01-02T00:00:00,TOR @ MIA,244.1777777777778,33.5,92.0,0.3641304347826087,5.166666666666667,38.666666666666664,0.13362068965517243,17.333333333333332,21.5,0.8062015503875969,16.166666666666668,41.666666666666664,57.833333333333336,20.666666666666668,10.666666666666666,6.5,6.166666666666667,5.833333333333333,16.0,17.833333333333332,89.5,-3.7,2,0,129.45125494078988
35,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900524,2020-01-04T00:00:00,TOR @ BKN,245.6444444437778,46.5,98.0,0.4744897959183674,13.166666666666666,29.666666666666668,0.4438202247191011,23.333333333333332,32.5,0.717948717948718,19.166666666666668,28.666666666666668,47.833333333333336,21.666666666666668,7.666666666666667,11.5,4.166666666666667,10.833333333333334,24.0,28.833333333333332,129.5,21.7,2,0,218.9250153957899
36,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900549,2020-01-07T00:00:00,TOR vs. POR,224.78944444077774,38.5,93.0,0.41397849462365593,14.166666666666666,38.666666666666664,0.36637931034482757,14.333333333333334,19.5,0.7350427350427351,20.166666666666668,40.666666666666664,60.833333333333336,17.666666666666668,11.666666666666666,4.5,6.166666666666667,8.833333333333334,23.0,16.833333333333332,105.5,-0.5,2,0,171.2070390637899
37,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900555,2020-01-08T00:00:00,TOR @ CHA,252.4444444377778,42.5,96.0,0.4427083333333333,13.166666666666666,34.666666666666664,0.3798076923076923,17.333333333333332,24.5,0.7074829931972788,16.166666666666668,35.666666666666664,51.833333333333336,24.666666666666668,7.666666666666667,7.5,5.166666666666667,6.833333333333333,24.0,25.833333333333332,115.5,4.5,2,0,153.0387059277899
38,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900587,2020-01-12T00:00:00,TOR vs. SAS,245.03666666966672,41.0,99.0,0.41414141414141414,17.0,47.0,0.3617021276595745,11.0,14.0,0.7857142857142857,11.0,39.0,50.0,28.0,10.0,9.0,3.0,6.0,26.0,14.0,110.0,4.0,2,0,136.75652035958433
39,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900609,2020-01-15T00:00:00,TOR @ OKC,239.12499998966666,53.0,86.0,0.6162790697674418,14.0,26.0,0.5384615384615384,12.0,17.0,0.7058823529411765,8.0,35.0,43.0,28.0,17.0,13.0,1.0,3.0,23.0,19.0,132.0,11.4,0,0,204.8498091215843
