,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER,TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,SEASON_YEAR,Game_Type
30,21900455,2019-12-25T00:00:00,TOR vs. BOS,L,240.00000000000003,38,80,0.475,8,23,0.34782608695652173,18,22,0.8181818181818182,7,27,34,17,17,13,7,3,13,22,102,-80,0,0,191.156556237,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
31,21900473,2019-12-28T00:00:00,TOR @ BOS,W,239.999999996,44,84,0.5238095238095238,14,34,0.4117647058823529,11,17,0.6470588235294118,15,38,53,27,22,8,3,4,32,17,113,80,1,0,153.06606051000003,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
32,21900486,2019-12-29T00:00:00,TOR vs. OKC,L,240.00000000000003,35,83,0.42168674698795183,15,40,0.375,12,12,1.0,8,34,42,21,14,7,2,6,20,14,97,-5,1,0,96.214021472,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
33,21900500,2019-12-31T00:00:00,TOR vs. CLE,W,240.0,40,84,0.47619047619047616,17,39,0.4358974358974359,20,25,0.8,10,35,45,29,11,5,7,4,15,19,117,100,1,0,348.83089463400006,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
34,21900510,2020-01-02T00:00:00,TOR @ MIA,L,239.999999997,28,89,0.3146067415730337,6,42,0.14285714285714285,14,17,0.8235294117647058,13,35,48,20,10,4,6,4,12,13,76,-40,2,0,76.895316877,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
35,21900524,2020-01-04T00:00:00,TOR @ BKN,W,240.00000000300003,44,97,0.4536082474226804,13,32,0.40625,20,28,0.7142857142857143,15,28,43,21,7,10,4,11,25,24,121,95,2,0,171.747998918,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
36,21900549,2020-01-07T00:00:00,TOR vs. POR,L,240.00000000299997,35,96,0.3645833333333333,15,42,0.35714285714285715,14,19,0.7368421052631579,17,40,57,21,13,5,7,11,21,15,99,-10,2,0,138.03614648299998,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
37,21900555,2020-01-08T00:00:00,TOR @ CHA,W,264.99999999,42,94,0.44680851063829785,14,36,0.3888888888888889,14,20,0.7,14,32,46,34,10,7,5,6,23,21,112,10,3,0,128.27174303,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
38,21900587,2020-01-12T00:00:00,TOR vs. SAS,L,240.00000000300003,39,96,0.40625,17,48,0.3541666666666667,9,11,0.8181818181818182,8,37,45,30,11,7,3,5,23,11,104,-5,2,0,121.297538055,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
39,21900609,2020-01-15T00:00:00,TOR @ OKC,W,239.999999993,52,85,0.611764705882353,15,27,0.5555555555555556,11,15,0.7333333333333333,5,31,36,33,18,13,1,3,23,17,130,45,0,0,199.60553337000002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
40,21900621,2020-01-17T00:00:00,TOR vs. WAS,W,239.99999999200003,52,91,0.5714285714285714,22,43,0.5116279069767442,14,16,0.875,7,34,41,35,19,16,2,3,24,16,140,145,0,0,275.46547777300003,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
41,21900632,2020-01-18T00:00:00,TOR @ MIN,W,239.99999999099998,47,91,0.5164835164835165,13,35,0.37142857142857144,15,17,0.8823529411764706,7,35,42,25,14,13,9,5,23,18,122,50,0,0,223.47459652900002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
42,21900640,2020-01-20T00:00:00,TOR @ ATL,W,240.00000001,38,92,0.41304347826086957,13,42,0.30952380952380953,33,43,0.7674418604651163,12,33,45,25,14,13,3,8,25,34,122,25,0,0,191.440208014,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
43,21900660,2020-01-22T00:00:00,TOR vs. PHI,W,239.999999993,40,86,0.46511627906976744,13,33,0.3939393939393939,14,21,0.6666666666666666,8,45,53,27,12,6,2,6,19,23,107,60,1,0,141.20308869299998,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
44,21900672,2020-01-24T00:00:00,TOR @ NYK,W,240.00000000999998,41,81,0.5061728395061729,17,35,0.4857142857142857,19,23,0.8260869565217391,5,26,31,25,7,10,6,4,20,21,118,30,0,0,186.881881236,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
45,21900686,2020-01-26T00:00:00,TOR @ SAS,W,239.99999999599999,41,99,0.41414141414141414,16,50,0.32,12,15,0.8,14,36,50,31,8,11,2,8,22,15,110,20,1,0,166.94584925400002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
46,21900703,2020-01-28T00:00:00,TOR vs. ATL,W,239.999999994,48,97,0.4948453608247423,13,43,0.3023255813953488,21,27,0.7777777777777778,10,42,52,26,12,10,6,2,26,23,130,80,2,0,214.24615407699997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
47,21900714,2020-01-30T00:00:00,TOR @ CLE,W,239.999999993,41,84,0.4880952380952381,12,32,0.375,21,28,0.75,9,28,37,23,13,13,3,3,20,21,115,30,0,0,169.524478796,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
48,21900720,2020-01-31T00:00:00,TOR @ DET,W,240.00000001,44,85,0.5176470588235295,9,27,0.3333333333333333,8,11,0.7272727272727273,7,35,42,26,14,6,7,6,27,12,105,65,0,0,45.79395540999999,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
